pdf_path,paper_id,notes
C:\Users\12898\Desktop\flow matching文献阅读\2412.10743v2.pdf,seed_001,NeuralPLexer3
C:\Users\12898\Desktop\flow matching文献阅读\ICLR-2025-composing-unbalanced-flows-for-flexible-docking-and-relaxation-Paper-Conference.pdf,seed_002,Composing Unbalanced Flows
C:\Users\12898\Desktop\flow matching文献阅读\NeurIPS-2025-forcefm-enhancing-protein-ligand-predictions-through-force-guided-flow-matching-Paper-Conference.pdf,seed_003,ForceFM
C:\Users\12898\Desktop\flow matching文献阅读\FlowDock-2412.10966.pdf,seed_004,FlowDock
C:\Users\12898\Desktop\flow matching文献阅读\HarmonicFlow-2310.05764.pdf,seed_005,HarmonicFlow / FlowSite
